area_type,availability,location,society,total_sqft,bath,balcony,price,house_size,house_type
Super built-up  Area,Ready To Move,Yeshwanthpur,ibityin,1383.0,2,2,76.18,3,0
Built-up  Area,Ready To Move,Banashankari Stage I,independent,3000.0,4,3,170.0,5,1
Super built-up  Area,Ready To Move,Hulimavu,independent,935.0,2,3,45.0,2,0
Super built-up  Area,Ready To Move,Thigalarapalya,prtanha,2072.0,4,2,151.0,3,0
Built-up  Area,Ready To Move,Ramanjaneyanagar,independent,2200.0,3,1,225.0,4,1
Super built-up  Area,Ready To Move,KR Puram,ciaksri,1116.0,2,1,45.0,2,0
Super built-up  Area,18-Dec,Whitefield,asarqz ,1639.0,3,2,107.0,3,0
Super built-up  Area,Ready To Move,Marathahalli,independent,1839.0,3,2,130.0,3,0
Super built-up  Area,Ready To Move,Byatarayanapura,independent,1300.0,2,2,63.0,2,0
Super built-up  Area,Ready To Move,Horamavu Agara,independent,625.0,1,1,27.0,1,0
Super built-up  Area,18-May,Thanisandra,bhmesy ,933.0,1,1,61.0,1,0
Super built-up  Area,Ready To Move,Hosur Road,saageat,2289.0,3,3,180.0,3,0
Built-up  Area,Ready To Move,Ramamurthy Nagar,independent,2316.0,3,0,125.0,3,1
Super built-up  Area,18-May,Electronic City,independent,1005.0,2,1,39.77,2,0
Built-up  Area,Ready To Move,Horamavu Agara,slorafl,1080.0,2,1,38.0,2,0
Super built-up  Area,Ready To Move,Vishwapriya Layout,prodsth,910.0,2,3,36.0,2,0
Plot  Area,Ready To Move,Hormavu,grensak,1200.0,2,0,73.0,2,1
Super built-up  Area,Ready To Move,Electronic City,ycnce r,1110.0,2,1,39.9,2,0
Super built-up  Area,Ready To Move,Kothanur,independent,1142.0,2,2,56.0,2,0
Carpet  Area,Ready To Move,2nd Stage Nagarbhavi,independent,4000.0,4,3,240.0,5,1
Plot  Area,18-Mar,Hormavu,prageta,1800.0,3,1,204.0,3,1
Super built-up  Area,Ready To Move,AECS Layout,cmard b,1005.0,2,1,55.0,2,0
Built-up  Area,18-Apr,3rd Block Banashankari,independent,1626.6,3,1,133.0,3,0
Super built-up  Area,Ready To Move,Kothanur,independent,1074.0,2,2,54.0,2,0
Carpet  Area,Ready To Move,Basavangudi,independent,1230.0,2,0,80.0,2,0
Super built-up  Area,Ready To Move,Electronic City,itelaa ,660.0,1,1,23.0,2,0
Built-up  Area,Ready To Move,Coconut Grove Layout,independent,1007.0,2,2,48.0,2,0
Plot  Area,Ready To Move,2nd Block Hrbr Layout,independent,1050.0,6,1,74.0,4,1
Built-up  Area,20-Dec,Whitefield,independent,1820.0,3,2,113.0,3,0
Plot  Area,Ready To Move,Anjappa Layout,independent,1348.0,2,0,100.0,2,1
Super built-up  Area,Ready To Move,Kasavanhalli,independent,1230.0,2,2,66.25,2,0
Super built-up  Area,18-May,Horamavu Agara,independent,1176.0,2,1,37.62,3,0
Built-up  Area,Ready To Move,Frazer Town,independent,1200.0,2,1,78.0,2,0
Built-up  Area,18-Jun,"Off Sarjapur Road, ",independent,1298.0,2,1,65.0,2,0
Plot  Area,Ready To Move,Himagiri Meadows,independent,1350.0,4,0,175.0,4,1
Plot  Area,Ready To Move,4th Block HBR Layout,independent,1200.0,5,2,138.0,5,1
Super built-up  Area,Ready To Move,Kothanur,independent,1285.0,2,1,60.0,2,0
Super built-up  Area,17-Jun,Electronic City,prarkun,1644.0,3,2,92.59,3,0
Super built-up  Area,Ready To Move,Kasavanhalli,independent,1819.0,3,1,150.0,3,0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,ncaveun,1205.0,2,1,85.0,2,0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,ely 3em,1270.0,2,2,62.0,2,0
Super built-up  Area,18-Jun,9th Phase JP Nagar,independent,1240.0,2,2,39.89,3,0
Super built-up  Area,Ready To Move,Jigani,dlhtsan,1221.0,3,3,70.0,3,0
Built-up  Area,Ready To Move,Hoysalanagar,rkntsrt,840.0,2,2,35.0,3,0
Super built-up  Area,Ready To Move,Kanakpura Road,puandhi,1339.0,2,2,63.0,2,0
Super built-up  Area,Ready To Move,Haralur Road,dsimaul,1315.0,2,1,85.0,2,0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,independent,1250.0,2,2,68.0,2,0
Super built-up  Area,Ready To Move,Bisuvanahalli,prityel,850.0,2,1,27.0,2,0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,eladero,1600.0,2,2,110.0,3,0
Built-up  Area,Ready To Move,Electronic City,prhtsua,1250.0,2,1,62.0,2,0
Super built-up  Area,Ready To Move,Motappa Layout,puodse ,1312.0,2,1,56.5,3,0
Super built-up  Area,Ready To Move,Kadugodi,vsaya a,3000.0,4,0,134.0,4,0
Built-up  Area,Ready To Move,Electronic City Phase II,prngshi,1300.0,2,2,28.0,2,0
Built-up  Area,Ready To Move,Whitefield,independent,1990.0,3,3,98.0,3,0
Super built-up  Area,Ready To Move,Medahalli,independent,760.0,2,2,38.5,2,0
Super built-up  Area,Ready To Move,Kadugodi,inadear,1614.0,2,2,59.0,3,0
Plot  Area,Ready To Move,Judicial Layout,independent,1500.0,3,2,162.0,4,1
Super built-up  Area,Ready To Move,Basava Nagar,prvaska,1182.0,2,1,60.1,3,0
Super built-up  Area,Ready To Move,Avalahalli,pyonsca,1053.0,2,1,46.29,2,0
Built-up  Area,Ready To Move,6th Phase JP Nagar,independent,750.0,1,1,105.0,1,0
Super built-up  Area,Ready To Move,Gubbalala,mauiltr,2000.0,3,3,125.0,3,0
Built-up  Area,18-May,Electronic City Phase II,snbay g,1940.0,4,3,116.0,3,0
Super built-up  Area,18-Dec,Hennur Road,shxorm ,1590.0,3,2,105.0,3,0
Super built-up  Area,18-Oct,Chennammana Kere,independent,1035.0,2,2,52.79,2,0
Super built-up  Area,Ready To Move,Kothanur,independent,1075.0,2,2,53.0,2,0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,keave e,1260.0,2,1,62.0,3,0
Plot  Area,Ready To Move,Prashanth Nagar,independent,1200.0,5,0,260.0,6,1
Super built-up  Area,Ready To Move,Thanisandra,soitya ,1702.0,3,2,107.0,3,0
Super built-up  Area,Ready To Move,Bisuvanahalli,prityel,1080.0,2,2,65.0,3,0
Built-up  Area,Ready To Move,Kasavanhalli,independent,1189.0,2,1,45.0,2,0
Super built-up  Area,Ready To Move,Tumkur Road,mairer ,1035.0,2,1,39.0,2,0
Super built-up  Area,18-Aug,Hennur Road,dseldpr,1200.0,2,1,36.0,2,0
Plot  Area,Ready To Move,Michael Palaya,independent,1200.0,3,0,200.0,3,1
Super built-up  Area,20-Oct,Kanakpura Road,prarepa,1300.0,3,1,69.0,3,0
Super built-up  Area,19-Apr,Yelahanka,ledorsa,1330.0,2,1,93.65,2,0
Super built-up  Area,Ready To Move,Kaggalipura,baowsig,1210.0,2,1,65.0,3,0
Built-up  Area,Ready To Move,Chikkalasandra,independent,1350.0,2,2,54.2,3,0
Super built-up  Area,Ready To Move,Kaval Byrasandra,syonen ,1900.0,2,2,65.0,3,0
Super built-up  Area,Ready To Move,Ambedkar Nagar,soechha,1935.0,4,2,125.0,3,0
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,brlonav,1410.0,3,3,90.0,3,0
Super built-up  Area,Ready To Move,Narayanapura,arioshe,1469.0,2,2,99.14,2,0
Super built-up  Area,Ready To Move,Varthur,hirio l,986.0,2,1,30.0,2,0
Super built-up  Area,Ready To Move,RBI Layout,sasicha,1460.0,2,2,87.0,3,0
Super built-up  Area,19-Jan,Chandra Layout,tiaksaa,1260.0,2,2,85.05,3,0
Super built-up  Area,Ready To Move,Chandapura,riiew l,1345.0,2,2,39.5,3,0
Super built-up  Area,Ready To Move,Panathur,isncasa,980.0,2,1,57.0,2,0
Built-up  Area,Ready To Move,Kudlu Gate,brlms p,1164.0,2,2,75.0,2,0
Super built-up  Area,Ready To Move,Subramanyapura,prldsri,929.0,1,2,51.0,2,0
Built-up  Area,Ready To Move,Kundalahalli,independent,1065.0,2,1,70.0,2,0
Super built-up  Area,20-Jun,Budigere,brstaue,1172.0,2,0,56.72,2,0
Super built-up  Area,Ready To Move,Lakshmiamma Garden,independent,3000.0,3,1,265.0,3,0
Super built-up  Area,18-Apr,Electronic City,independent,1020.0,2,1,30.27,2,0
Super built-up  Area,Ready To Move,Gunjur,dserste,1362.0,3,1,62.63,3,0
Super built-up  Area,Ready To Move,Yeshwanthpur,ibityin,672.0,1,1,36.85,1,0
Super built-up  Area,Ready To Move,Brookefield,stlomg ,1746.0,3,3,115.0,3,0
Super built-up  Area,Ready To Move,Harlur,srendpo,1532.0,2,1,65.0,2,0
Super built-up  Area,Ready To Move,Guni Agrahara,independent,1200.0,2,2,120.0,3,0
Super built-up  Area,Ready To Move,Ganga Nagar,alourar,1250.0,2,2,65.0,2,0
Super built-up  Area,Ready To Move,Thanisandra,slaceda,1188.0,2,1,39.0,2,0
Built-up  Area,19-Oct,Whitefield,nvaree ,3565.0,4,0,218.0,4,1
Super built-up  Area,19-Jan,Marathahalli,prenske,1170.0,2,2,85.0,2,0
Super built-up  Area,Ready To Move,BEL Road,independent,1800.0,3,2,150.0,3,0
Plot  Area,Ready To Move,Madavara,independent,1000.0,2,1,35.0,2,1
Plot  Area,Ready To Move,Cooke Town,independent,2600.0,3,1,375.0,3,1
Super built-up  Area,Ready To Move,Kasturi Nagar,radenta,2507.0,4,2,155.0,4,0
Super built-up  Area,Ready To Move,Babusapalaya,arngsd ,1061.0,2,1,34.0,2,0
Super built-up  Area,Ready To Move,KR Puram,independent,1290.0,2,2,69.0,2,0
Super built-up  Area,Ready To Move,Sarjapur,independent,1200.0,2,1,42.6,2,0
Super built-up  Area,18-May,Bharathi Nagar,independent,1120.0,2,2,39.29,2,0
Super built-up  Area,Ready To Move,Electronic City,independent,418.0,1,1,12.0,1,0
Super built-up  Area,Ready To Move,Sarjapur,sondaka,1333.0,3,1,50.0,3,0
Super built-up  Area,19-Dec,Thanisandra,cotaror,747.0,1,0,34.35,1,0
Super built-up  Area,Ready To Move,Koramangala,independent,1700.0,3,3,250.0,3,0
Super built-up  Area,19-May,Thanisandra,g conth,2030.0,4,1,125.0,3,0
Super built-up  Area,18-Mar,Balagere,soresea,1012.0,2,1,70.0,2,0
Carpet  Area,Ready To Move,Kudlu,independent,1245.0,2,1,60.0,3,0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,eladero,1765.0,3,2,118.0,3,0
Super built-up  Area,Ready To Move,Gottigere,srtusi ,1110.0,2,2,36.25,2,0
Built-up  Area,Ready To Move,Akash Nagar,independent,967.0,2,1,47.8,2,0
Super built-up  Area,Ready To Move,Sarjapur,peles p,1044.0,2,2,36.0,2,0
Super built-up  Area,Ready To Move,Brookefield,baentgi,1518.0,3,3,80.0,3,0
Super built-up  Area,Ready To Move,KR Puram,slontel,1300.0,2,2,57.0,3,0
Super built-up  Area,Ready To Move,Seetharampalya,sapazta,1798.0,3,3,73.0,3,0
Carpet  Area,Ready To Move,KR Puram,jahidva,866.28,2,0,36.38,2,0
Super built-up  Area,18-Feb,Whitefield,brlisco,3410.0,5,3,253.0,4,0
Super built-up  Area,Ready To Move,Singasandra,eavarum,1179.0,2,2,56.0,2,0
Super built-up  Area,Ready To Move,Cambridge Layout,independent,2098.0,3,1,210.0,3,0
Super built-up  Area,Ready To Move,3rd Phase JP Nagar,independent,2400.0,3,1,270.0,3,0
Built-up  Area,Ready To Move,Haralur Road,independent,1976.0,3,2,92.0,3,0
Built-up  Area,Ready To Move,5th Phase JP Nagar,niaveha,1190.0,2,2,61.8,2,0
Super built-up  Area,Ready To Move,cooketown,independent,1800.0,3,3,192.0,3,0
Super built-up  Area,19-Sep,Jakkur,ceezey ,1761.0,3,1,84.52,3,0
Super built-up  Area,Ready To Move,Cooke Town,independent,1700.0,3,3,120.0,3,0
Built-up  Area,Ready To Move,Ramamurthy Nagar,independent,900.0,4,1,70.0,4,1
Super built-up  Area,18-Apr,Electronic City,prarkun,1128.0,2,1,64.8,2,0
Built-up  Area,18-Dec,Electronic City,independent,1220.0,2,1,35.25,3,0
Super built-up  Area,19-Jan,Shauhardha Layout,ardaseo,509.0,1,1,20.0,1,0
Super built-up  Area,Ready To Move,Ambedkar Nagar,soechha,1852.0,4,2,122.0,3,0
Super built-up  Area,20-Dec,Varthur,myple m,1045.0,2,1,40.65,2,0
Super built-up  Area,Ready To Move,Kaverappa Layout,varve r,3535.0,4,2,215.0,4,0
Super built-up  Area,Ready To Move,Omkar Nagar,shinei ,1800.0,3,2,82.0,4,0
Super built-up  Area,Ready To Move,Hebbal Kempapura,independent,1436.0,2,2,75.0,3,0
Super built-up  Area,Ready To Move,Chikkadunnasandra,kr 10ca,1397.0,2,0,52.0,3,0
Super built-up  Area,Ready To Move,Kothanur,independent,1140.0,2,2,56.0,2,0
Super built-up  Area,20-Jan,Balagere,soresea,645.0,1,1,55.0,1,0
Plot  Area,Ready To Move,Bank Of Baroda Colony,independent,2350.0,5,0,325.0,5,1
Plot  Area,18-May,Nagarbhavi,independent,1200.0,3,2,225.0,3,1
Carpet  Area,Ready To Move,Bhoopsandra,e onsg ,2050.0,3,2,135.0,3,0
Super built-up  Area,Ready To Move,Sarjapur  Road,dsndsod,1335.0,2,1,95.0,2,0
Plot  Area,Ready To Move,Thirumenahalli,independent,2100.0,1,1,200.0,2,1
Super built-up  Area,Ready To Move,Thanisandra,slaceda,1140.0,2,1,59.0,2,0
Super built-up  Area,Ready To Move,Hosakerehalli,taonte ,2376.0,3,1,240.0,3,0
Super built-up  Area,19-Mar,Thanisandra,bhe 2ko,663.0,1,1,46.0,1,0
Super built-up  Area,Ready To Move,Victoria Layout,independent,1276.0,2,0,146.0,2,0
Super built-up  Area,Ready To Move,Kanakpura Road,jrrnauv,1450.0,3,3,60.9,3,0
Super built-up  Area,Ready To Move,Kodichikkanahalli,independent,1400.0,3,3,66.0,3,0
Super built-up  Area,17-Oct,Divya Unnathi Layout,independent,1339.0,2,1,53.56,2,0
Built-up  Area,18-Dec,Electronic City,independent,1220.0,2,1,35.23,3,0
Built-up  Area,Ready To Move,Malleshwaram,sariaat,2200.0,3,2,275.0,3,0
Built-up  Area,Ready To Move,Harohalli,independent,1305.0,2,2,52.0,2,0
Built-up  Area,Ready To Move,Green Glen Layout,sravea ,1740.0,3,3,80.0,3,0
Super built-up  Area,Ready To Move,Anekal,independent,680.0,1,1,21.0,2,0
Super built-up  Area,Ready To Move,Bannerghatta Road,independent,1154.0,2,2,47.0,2,0
Built-up  Area,Ready To Move,Munnekollal,independent,1200.0,2,2,40.0,2,0
Super built-up  Area,Ready To Move,Hennur,independent,1155.0,2,2,54.5,2,0
Super built-up  Area,Ready To Move,Sarjapur  Road,shthi s,1525.0,2,3,63.0,3,0
Built-up  Area,Ready To Move,Giri Nagar,independent,600.0,1,1,125.0,1,1
Super built-up  Area,19-Dec,Hebbal,raard b,2470.0,5,2,192.0,4,0
Super built-up  Area,Ready To Move,Padmanabhanagar,independent,1100.0,2,1,60.0,2,0
Super built-up  Area,Ready To Move,Hormavu,savar s,1250.0,2,2,65.0,2,0
Super built-up  Area,Ready To Move,Kothanur,ymhenli,1400.0,2,1,70.0,2,0
Super built-up  Area,Ready To Move,Ittamadu,naory g,1600.0,3,2,100.0,3,0
Built-up  Area,Ready To Move,Electronic City,gmown e,1060.0,2,1,55.0,2,0
Super built-up  Area,Ready To Move,Horamavu Banaswadi,independent,1272.0,2,2,50.0,2,0
Super built-up  Area,19-Jul,Kanakpura Road,soazak ,1296.0,2,2,105.0,2,0
Built-up  Area,Ready To Move,Dollars Colony,independent,2100.0,3,2,280.0,4,0
Super built-up  Area,Ready To Move,Karuna Nagar,ajityin,1945.0,3,3,115.0,3,0
Super built-up  Area,19-Nov,Chandapura,independent,1033.0,2,2,30.47,3,0
Super built-up  Area,Ready To Move,Stage-4 Bommanahalli,pantsce,2300.0,2,0,69.0,3,0
Super built-up  Area,18-Aug,Gunjur Palya,independent,1235.0,2,2,52.76,2,0
Super built-up  Area,Ready To Move,3rd Block Koramangala,aplanje,2100.0,3,1,270.0,3,0
Super built-up  Area,Ready To Move,2nd Phase JP Nagar,sharlth,850.0,2,1,42.5,2,0
Super built-up  Area,Ready To Move,Subramanyapura,mayne a,1880.0,3,2,110.0,3,0
Super built-up  Area,20-May,1st Block Jayanagar,independent,2450.0,4,2,368.0,4,0
Super built-up  Area,Ready To Move,Kenchenahalli,unateit,1060.0,2,2,52.0,2,0
Super built-up  Area,Ready To Move,Hennur Road,sairesa,2041.0,3,3,138.0,3,0
Built-up  Area,Ready To Move,Hulimavu,independent,1050.0,2,2,125.0,2,1
Built-up  Area,21-Dec,"Electronic city phase 1, ",independent,1150.0,2,1,39.0,2,0
Super built-up  Area,Ready To Move,LB Shastri Nagar,mcrds s,1184.0,2,1,62.0,2,0
Built-up  Area,Ready To Move,Sarjapur  Road,independent,1680.0,3,2,126.0,3,0
Super built-up  Area,18-Apr,Thanisandra,bhe 2ko,1411.0,3,2,100.0,3,0
Plot  Area,Ready To Move,Hosa Road,independent,900.0,5,0,55.0,5,1
Super built-up  Area,21-Dec,Kanakpura Road,independent,900.0,2,2,41.0,2,0
Built-up  Area,Ready To Move,Jakkur Plantation,independent,3500.0,4,3,320.0,4,0
Super built-up  Area,Ready To Move,Thanisandra,soitya ,1702.0,3,2,120.0,3,0
Super built-up  Area,Ready To Move,Yelahanka,bkideor,1185.0,2,2,45.0,2,0
Super built-up  Area,21-Jan,Kanakpura Road,prarepa,1300.0,3,1,64.0,3,0
Super built-up  Area,Ready To Move,Lavakusha Nagar,vanusn ,1545.0,3,2,65.0,3,0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,ncierar,1515.0,2,2,135.0,3,0
Super built-up  Area,Ready To Move,Jigani,dlhtsen,1300.0,3,3,55.0,3,0
Super built-up  Area,Ready To Move,JP Nagar,independent,1107.0,2,1,57.0,2,0
Super built-up  Area,Ready To Move,Old Madras Road,brglede,1720.0,3,2,106.0,3,0
Super built-up  Area,Ready To Move,Kuvempu Nagar,srersas,1540.0,3,2,150.0,3,0
Super built-up  Area,Ready To Move,Bannerghatta Road,independent,1000.0,2,1,44.5,2,0
Super built-up  Area,21-Dec,Electronic City,konteit,710.0,1,1,40.42,1,0
Built-up  Area,Ready To Move,Sri Balaji Krupa Layout,krodsno,3200.0,4,0,270.0,4,1
Plot  Area,Ready To Move,Domlur Layout,independent,900.0,2,2,160.0,2,1
Built-up  Area,Ready To Move,Bannerghatta Road,saavenc,1250.0,2,0,48.0,2,0
Built-up  Area,Ready To Move,Kaggadasapura,independent,2400.0,4,3,130.0,5,1
Super built-up  Area,Ready To Move,Hegde Nagar,sonosty,1584.01,3,1,104.0,3,0
Plot  Area,Ready To Move,Vasanth nagar,independent,875.0,4,0,150.0,4,1
Plot  Area,Ready To Move,Kammasandra,independent,1200.0,6,3,60.0,4,1
Super built-up  Area,Ready To Move,Kaggadasapura,srncyre,1485.0,2,2,70.0,3,0
Built-up  Area,Ready To Move,Hennur Road,maity w,1100.0,2,1,78.0,3,0
Super built-up  Area,18-Mar,8th Phase JP Nagar,independent,1245.0,2,1,59.0,2,0
Built-up  Area,19-Dec,Hennur Road,ciris p,1880.0,4,0,154.0,4,1
Super built-up  Area,20-Jul,Frazer Town,independent,2214.0,3,3,350.0,3,0
Built-up  Area,18-Jun,Anathanagar,independent,1050.0,2,2,45.0,2,0
Plot  Area,Ready To Move,Vishveshwarya Layout,independent,600.0,4,2,95.0,4,1
Super built-up  Area,19-Jul,Bannerghatta Road,uncioe ,1640.0,3,2,105.0,3,0
Super built-up  Area,Ready To Move,Basavanapura,papusa ,1165.0,2,1,65.0,2,0
Built-up  Area,Ready To Move,Kengeri Satellite Town,mmowsik,1110.0,2,1,43.0,2,0
Plot  Area,Ready To Move,Jaraganahalli Jp Nagar Post,independent,600.0,4,3,65.0,4,1
Plot  Area,Ready To Move,adigondanhalli,independent,1200.0,1,0,42.0,2,1
Plot  Area,Ready To Move,Yelahanka,saaveha,1500.0,3,0,12.75,3,0
Super built-up  Area,18-Aug,Hennur Road,puachal,1232.0,2,1,69.61,2,0
Super built-up  Area,Ready To Move,Jalahalli,independent,1704.0,3,2,94.36,3,0
Built-up  Area,Ready To Move,7th Phase JP Nagar,independent,1275.0,2,2,88.0,3,0
Super built-up  Area,Ready To Move,Sarjapur  Road,gciewty,1222.0,2,1,68.0,3,0
Super built-up  Area,18-Apr,Electronic City,independent,1000.0,2,1,29.95,2,0
Super built-up  Area,19-Dec,Yelahanka,goues a,1517.0,3,2,71.28,3,0
Super built-up  Area,18-May,Horamavu Agara,independent,1166.0,2,1,37.29,2,0
Built-up  Area,Ready To Move,Electronic City,itelaa ,870.0,2,2,24.0,2,0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,independent,4000.0,5,2,170.0,5,0
Plot  Area,Ready To Move,Rajaji Nagar,independent,1350.0,4,1,230.0,4,1
Super built-up  Area,Ready To Move,Yelahanka,niareum,3019.0,6,0,190.0,4,0
Super built-up  Area,Ready To Move,Whitefield,searkhy,1345.0,3,1,58.0,3,0
Plot  Area,Ready To Move,Dommasandra,independent,900.0,3,1,75.0,3,1
Super built-up  Area,Ready To Move,EPIP Zone,akoreen,3800.0,5,2,170.0,4,0
Super built-up  Area,Ready To Move,Chandapura,independent,971.0,2,2,38.0,3,0
Built-up  Area,Ready To Move,EPIP Zone,loe 1st,1810.0,2,2,65.0,2,0
Built-up  Area,Ready To Move,"Whitefield, ",independent,1300.0,2,1,58.0,2,0
Super built-up  Area,Ready To Move,Thanisandra,menueno,1185.0,2,2,45.0,2,0
Super built-up  Area,Ready To Move,Pattandur Agrahara,shalesp,1350.0,2,3,68.0,2,0
Super built-up  Area,20-Jun,Budigere,brstaue,1590.0,3,0,76.16,3,0
Plot  Area,Ready To Move,Brookefield,independent,1560.0,3,2,149.0,4,1
Super built-up  Area,Ready To Move,Somasundara Palya,manceel,1650.0,3,0,126.0,3,0
Super built-up  Area,Ready To Move,Off Bannergatta Road,independent,1645.0,3,2,87.0,3,0
Super built-up  Area,Ready To Move,Hennur Road,chionco,1748.0,3,0,103.0,3,0
Plot  Area,18-Nov,Channasandra,independent,1200.0,3,1,67.77,3,1
Built-up  Area,Ready To Move,Kengeri Satellite Town,rooodre,1170.0,2,3,50.0,2,0
Built-up  Area,Ready To Move,Sarjapur  Road,saitya ,3420.0,4,2,225.0,4,0
Built-up  Area,Ready To Move,Hulimavu,naepa d,1320.0,2,2,65.0,3,0
Super built-up  Area,18-Jul,Bhoganhalli,rosha i,1610.0,3,2,84.53,3,0
Super built-up  Area,Ready To Move,Frazer Town,bamita ,1870.0,3,3,180.0,3,0
Super built-up  Area,Ready To Move,Sarjapur  Road,mades g,1510.0,2,1,110.0,3,0
Super built-up  Area,Ready To Move,Kanakapura  Rod,independent,1305.0,2,1,45.68,3,0
Super built-up  Area,Ready To Move,Mahadevpura,neisei ,1500.0,2,1,70.0,3,0
Super built-up  Area,Ready To Move,Indira Nagar,goareir,1149.0,2,1,130.0,2,0
Built-up  Area,Ready To Move,Thanisandra,bhmesy ,1948.0,4,2,129.0,4,0
Plot  Area,Ready To Move,Margondanahalli,independent,1448.0,3,1,70.0,3,1
Super built-up  Area,Ready To Move,Sarjapur  Road,sjityaz,1242.0,2,1,78.0,2,0
Super built-up  Area,Ready To Move,Sonnenahalli,skacak ,1268.0,2,1,58.0,2,0
Super built-up  Area,Ready To Move,Ramamurthy Nagar,saoneil,1101.0,2,1,50.0,2,0
Super built-up  Area,Ready To Move,Kallumantapa,bhmesa ,1255.0,2,3,65.0,2,0
Super built-up  Area,Ready To Move,Sarjapur  Road,puops r,984.0,3,2,140.0,3,0
Super built-up  Area,18-May,Hosa Road,sstusan,1089.0,2,1,32.67,2,0
Built-up  Area,Ready To Move,Byrathi Village,independent,800.0,1,3,95.0,2,0
Plot  Area,Ready To Move,Krishna Nagar,independent,1650.0,2,1,140.0,4,1
Super built-up  Area,Ready To Move,Kaggalipura,baowsig,950.0,2,1,45.0,2,0
Super built-up  Area,Ready To Move,HBR Layout,mantsce,1068.0,2,1,43.0,2,0
Built-up  Area,Ready To Move,Yelahanka New Town,khatsfl,860.0,1,2,31.0,2,0
Super built-up  Area,Ready To Move,Yelahanka,pyikad ,1756.0,3,2,66.73,3,0
Super built-up  Area,Ready To Move,Whitefield,ssthamh,1205.0,2,1,41.0,2,0
Super built-up  Area,Ready To Move,Banashankari,bregae ,1800.0,3,2,125.0,3,0
Built-up  Area,Ready To Move,Hormavu,neise p,1604.0,3,0,68.0,3,0
Super built-up  Area,18-May,Old Airport Road,jaades ,2732.0,4,3,204.0,4,0
Super built-up  Area,18-Dec,Chandapura,suncees,1015.0,2,2,25.88,2,0
Super built-up  Area,Ready To Move,Ananth Nagar,independent,1010.0,2,2,38.0,2,0
Built-up  Area,Ready To Move,Nagarbhavi,independent,1250.0,3,0,170.0,2,1
Super built-up  Area,Ready To Move,Doddakallasandra,independent,1010.0,2,1,41.0,2,0
Super built-up  Area,Ready To Move,Yelahanka,dstus s,1050.0,2,2,33.1,2,0
Super built-up  Area,Ready To Move,Harlur,independent,1710.0,3,2,85.0,3,0
Super built-up  Area,19-Jan,Mysore Road,prntaen,1248.52,3,2,115.0,3,0
Built-up  Area,Ready To Move,Attibele,independent,410.0,1,1,10.0,1,0
Super built-up  Area,18-Oct,Bannerghatta Road,dsnjh s,1656.0,2,1,62.93,3,0
Super built-up  Area,Ready To Move,Naganathapura,malmsri,1451.0,3,1,68.0,3,0
Super built-up  Area,Ready To Move,Giri Nagar,independent,1200.0,3,0,175.0,6,0
Super built-up  Area,Ready To Move,JP Nagar,maerar ,1250.0,2,2,93.0,2,0
Built-up  Area,Ready To Move,Sonnenahalli,laiteya,1340.0,2,3,42.0,3,0
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,ssaveik,1100.0,2,2,38.5,2,0
Super built-up  Area,Ready To Move, Devarachikkanahalli,heate l,1700.0,3,1,71.0,3,0
Plot  Area,Ready To Move,Yelahanka,independent,1200.0,5,0,150.0,6,1
Super built-up  Area,Ready To Move,KR Puram,sviseun,1096.0,2,1,43.0,2,0
Built-up  Area,Ready To Move,"Sarjapur Road, ",independent,1936.0,3,2,139.0,3,0
Super built-up  Area,Ready To Move,Nehru Nagar,undge t,1269.0,2,2,63.0,3,0
Super built-up  Area,18-May,Panathur,prcesvy,1586.0,3,1,125.0,3,0
Super built-up  Area,18-Jul,Rajaji Nagar,prodswe,1376.0,2,1,124.0,2,0
Super built-up  Area,Ready To Move,Kanakpura Road,jrrnauv,1452.0,3,3,56.5,3,0
Super built-up  Area,18-Aug,Hosa Road,sosisic,1538.0,3,1,107.0,3,0
Super built-up  Area,18-May,Hosur Road,puendwe,1427.0,2,1,130.0,3,0
Built-up  Area,Ready To Move,Upadhyaya Layout,independent,935.0,2,0,40.0,2,0
Built-up  Area,Ready To Move,Ashwath Nagar,raeusiy,1220.0,2,3,65.0,2,0
Super built-up  Area,Ready To Move,Harlur,prncyrn,1197.0,2,1,77.0,2,0
Super built-up  Area,18-Dec,Varthur,independent,674.0,1,1,19.9,2,0
Built-up  Area,Ready To Move,Kengeri,independent,410.0,1,1,15.0,1,0
Built-up  Area,18-Apr,Thanisandra,bhmesy ,1573.0,3,1,90.0,3,0
Super built-up  Area,Ready To Move,Dodda Nekkundi,srsami ,1135.0,2,2,58.0,2,0
Built-up  Area,18-Dec,Huskur,independent,1400.0,2,1,40.43,3,0
Super built-up  Area,Ready To Move,Agrahara Dasarahalli,independent,1200.0,1,0,65.0,1,0
Plot  Area,Ready To Move,Ittamadu,independent,1800.0,3,0,95.0,3,1
